"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2026","8.770","8.766","8.818","8.644","3.12M","-0.39%"
"01/23/2026","8.804","8.942","8.942","8.688","4.58M","-1.89%"
"01/22/2026","8.974","8.802","9.040","8.802","6.30M","3.84%"
"01/21/2026","8.642","8.400","8.708","8.398","4.09M","3.45%"
"01/20/2026","8.354","8.402","8.410","8.246","3.53M","-0.88%"
"01/19/2026","8.428","8.260","8.478","8.236","3.00M","0.67%"
"01/16/2026","8.372","8.448","8.454","8.334","2.28M","-0.90%"
"01/15/2026","8.448","8.400","8.460","8.302","3.63M","2.75%"
"01/14/2026","8.222","8.522","8.562","8.192","7.43M","-5.52%"
"01/13/2026","8.702","8.826","8.852","8.610","4.16M","-0.87%"
"01/12/2026","8.778","8.822","8.830","8.672","3.90M","-1.04%"
"01/09/2026","8.870","9.042","9.088","8.842","4.60M","-2.21%"
"01/08/2026","9.070","9.166","9.236","9.052","3.39M","-1.13%"
"01/07/2026","9.174","9.106","9.248","8.960","8.22M","2.96%"
"01/06/2026","8.910","8.710","8.910","8.686","4.45M","2.93%"
"01/05/2026","8.656","8.598","8.658","8.476","3.75M","0.86%"
"01/02/2026","8.582","8.452","8.590","8.410","2.44M","2.09%"
"12/30/2025","8.406","8.348","8.422","8.292","1.30M","0.43%"
"12/29/2025","8.370","8.390","8.430","8.296","2.76M","-0.59%"
"12/23/2025","8.420","8.552","8.552","8.382","1.80M","-1.34%"
"12/22/2025","8.534","8.562","8.570","8.458","2.67M","-0.42%"
"12/19/2025","8.570","8.688","8.760","8.522","5.52M","-1.06%"
"12/18/2025","8.662","8.530","8.674","8.470","3.60M","1.29%"
"12/17/2025","8.552","8.590","8.594","8.390","3.92M","-0.54%"
"12/16/2025","8.598","8.548","8.730","8.540","5.72M","1.01%"
"12/15/2025","8.512","8.480","8.546","8.438","2.65M","0.54%"
"12/12/2025","8.466","8.280","8.638","8.272","9.90M","4.78%"
"12/11/2025","8.080","7.982","8.138","7.968","2.64M","1.53%"
"12/10/2025","7.958","8.114","8.120","7.938","2.74M","-2.07%"
"12/09/2025","8.126","8.252","8.252","8.010","3.03M","-1.57%"
"12/08/2025","8.256","8.350","8.470","8.228","3.80M","0.34%"
"12/05/2025","8.228","8.232","8.304","8.170","3.91M","0.15%"
"12/04/2025","8.216","8.230","8.306","8.158","2.62M","0.12%"
"12/03/2025","8.206","8.300","8.300","8.168","3.18M","-1.11%"
"12/02/2025","8.298","8.350","8.356","8.212","3.50M","-0.65%"
"12/01/2025","8.352","8.300","8.390","8.224","4.10M","0.99%"
"11/28/2025","8.270","8.172","8.278","8.136","4.19M","1.20%"
"11/27/2025","8.172","8.150","8.208","8.124","2.28M","-0.27%"
