"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2025","401.90","400.00","404.90","398.00","2.79M","2.21%"
"10/21/2025","393.20","398.05","398.10","389.70","795.79K","-0.92%"
"10/20/2025","396.85","394.70","398.50","393.10","1.34M","1.19%"
"10/17/2025","392.20","401.40","401.40","391.20","2.05M","-3.49%"
"10/16/2025","406.40","410.00","411.00","398.90","2.07M","-0.34%"
"10/15/2025","407.80","412.50","414.80","407.30","2.68M","0.01%"
"10/14/2025","407.75","407.90","408.25","395.90","1.51M","-0.28%"
"10/13/2025","408.90","410.65","411.20","404.60","980.81K","0.42%"
"10/10/2025","407.20","413.70","413.90","406.60","1.28M","-1.38%"
"10/09/2025","412.90","402.70","415.70","400.00","3.63M","3.43%"
"10/08/2025","399.20","390.20","404.50","389.90","2.72M","2.44%"
"10/07/2025","389.70","388.70","391.20","385.10","844.41K","0.59%"
"10/06/2025","387.40","386.10","388.00","383.20","1.46M","0.43%"
"10/03/2025","385.75","388.00","389.30","384.10","1.32M","-0.09%"
"10/02/2025","386.10","380.80","386.20","379.20","2.12M","1.50%"
"10/01/2025","380.40","384.50","384.80","378.00","2.45M","-1.73%"
"09/30/2025","387.10","384.95","387.90","381.90","1.87M","0.73%"
"09/29/2025","384.30","383.40","386.20","381.30","2.26M","0.60%"
"09/26/2025","382.00","383.65","388.00","380.80","2.52M","-0.21%"
"09/25/2025","382.80","382.40","385.60","380.50","1.42M","-0.42%"
"09/24/2025","384.40","381.95","385.60","378.40","2.05M","0.52%"
"09/23/2025","382.40","379.60","384.10","378.80","2.43M","0.92%"
"09/22/2025","378.90","380.80","383.95","376.70","1.91M","-1.17%"
"09/19/2025","383.40","386.75","388.50","381.60","2.03M","-0.13%"
"09/18/2025","383.90","388.50","390.00","379.80","2.73M","-0.72%"
"09/17/2025","386.70","383.90","388.40","383.85","1.37M","1.34%"
"09/16/2025","381.60","386.80","389.65","380.60","1.83M","-0.81%"
"09/15/2025","384.70","384.45","388.85","381.40","1.80M","0.55%"
"09/12/2025","382.60","384.80","386.50","379.30","1.68M","-0.16%"
"09/11/2025","383.20","383.90","389.55","381.90","2.10M","-0.03%"
"09/10/2025","383.30","398.30","398.30","382.30","3.88M","-3.57%"
"09/09/2025","397.50","394.35","397.90","390.60","2.61M","0.93%"
"09/08/2025","393.85","392.40","394.00","389.60","2.08M","0.91%"
"09/05/2025","390.30","391.20","393.50","385.90","1.57M","-0.03%"
"09/04/2025","390.40","389.00","391.80","381.10","3.52M","0.05%"
"09/03/2025","390.20","382.55","391.70","380.70","2.85M","2.52%"
"09/02/2025","380.60","392.40","392.70","377.10","2.22M","-3.09%"
"09/01/2025","392.75","382.30","393.55","381.50","1.54M","2.77%"
"08/29/2025","382.15","387.50","387.50","380.00","1.41M","-1.42%"
"08/28/2025","387.65","386.55","390.20","386.30","645.33K","0.66%"
"08/27/2025","385.10","393.10","394.40","382.40","1.45M","-1.89%"
"08/26/2025","392.50","391.20","395.10","388.30","1.12M","-0.61%"
"08/22/2025","394.90","385.70","396.60","384.40","1.87M","2.20%"
"08/21/2025","386.40","388.40","388.90","382.10","803.85K","-0.53%"
"08/20/2025","388.45","391.30","392.60","386.20","1.15M","-1.21%"
"08/19/2025","393.20","390.20","393.55","388.20","1.02M","0.87%"
"08/18/2025","389.80","387.50","390.05","384.80","1.04M","0.98%"
"08/15/2025","386.00","386.30","387.50","382.20","1.65M","0.63%"
"08/14/2025","383.60","385.20","388.60","382.20","1.63M","-0.22%"
"08/13/2025","384.45","387.20","390.40","383.60","1.60M","-0.30%"
"08/12/2025","385.60","374.40","386.70","372.20","3.15M","3.17%"
"08/11/2025","373.75","374.20","379.10","370.60","1.34M","0.20%"
"08/08/2025","373.00","374.70","374.70","369.55","1.35M","-0.16%"
"08/07/2025","373.60","376.25","379.70","368.40","2.16M","0.03%"
"08/06/2025","373.50","381.80","381.95","372.75","2.74M","-1.94%"
"08/05/2025","380.90","378.90","383.10","376.60","1.90M","0.98%"
"08/04/2025","377.20","378.70","383.40","374.50","2.01M","0.88%"
"08/01/2025","373.90","384.55","392.95","368.30","6.03M","-1.68%"
"07/31/2025","380.30","373.10","383.90","372.80","2.34M","2.98%"
"07/30/2025","369.30","369.50","373.40","367.50","2.27M","0.29%"
"07/29/2025","368.25","371.90","374.10","368.10","2.45M","-0.39%"
"07/28/2025","369.70","378.70","379.80","367.90","1.90M","-1.31%"
"07/25/2025","374.60","378.10","378.10","370.95","2.09M","-1.23%"
"07/24/2025","379.25","378.50","380.80","374.50","2.96M","0.54%"
"07/23/2025","377.20","374.50","377.80","370.35","2.09M","1.70%"
"07/22/2025","370.90","381.05","382.75","365.85","1.92M","-2.52%"
"07/21/2025","380.50","384.30","386.00","376.70","1.87M","0.00%"
"07/18/2025","380.50","386.25","386.85","378.90","1.71M","-0.52%"
"07/17/2025","382.50","384.70","385.20","370.90","3.77M","0.42%"
"07/16/2025","380.90","376.85","385.80","376.85","3.90M","0.98%"
